first_name,last_name,GP,G,A,TP,PIM,+/-,team
Evan,Mitchell,9,0,0,0,2,-2,St. Lawrence Univ.
Teddy,Mallgrave,11,0,0,0,4,-4,St. Lawrence Univ.
Jakub,Kopecký,19,0,0,0,23,-11,St. Lawrence Univ.
Matthew,Romer,32,14,5,19,10,-16,Stonehill College
Evan,Orr,32,5,13,18,8,-13,Stonehill College
Anthony,Galante,23,5,11,16,12,-2,Stonehill College
Billy,Renfrew,32,2,14,16,8,-5,Stonehill College
Cole,Melady,31,6,9,15,12,-4,Stonehill College
Justin,Mexico,28,5,10,15,8,-5,Stonehill College
Joseph,Grainda,32,10,4,14,16,-8,Stonehill College
Patrick,Murphy,32,6,7,13,16,-12,Stonehill College
Joel,Lehtinen,31,5,8,13,22,-17,Stonehill College
Teddy,Lagerback,28,4,9,13,14,-4,Stonehill College
Charlie,Banquier,32,3,8,11,22,-14,Stonehill College
Frank,Ireland,26,2,7,9,6,-1,Stonehill College
Justin,Gibson,26,3,5,8,4,-4,Stonehill College
Leo,Chambers,27,1,7,8,2,0,Stonehill College
David,Posma,30,1,6,7,22,-1,Stonehill College
Matthew,Rafalski,30,1,6,7,25,0,Stonehill College
Brady,Hunter,26,2,4,6,2,0,Stonehill College
Dominick,Campione,30,1,4,5,8,-1,Stonehill College
Zach,Nicolas,19,1,3,4,0,-3,Stonehill College
Zachary,Aben,8,0,2,2,4,-2,Stonehill College
Jake,Gutwirth,19,1,0,1,6,-6,Stonehill College
Ryan,Davies,3,0,0,0,0,-1,Stonehill College
Adam,Mahler,3,0,0,0,2,-1,Stonehill College
Jordin,Palmer,8,0,0,0,2,-3,Stonehill College
Devon,Carlstrom,23,0,0,0,4,-10,Stonehill College
Dillan,Bentley,30,13,9,22,6,-9,UMass-Lowell
Jak,Vaarwerk,32,6,12,18,21,3,UMass-Lowell
Dalyn,Wakely,32,6,12,18,34,-13,UMass-Lowell
Jason,Ahearn,32,11,6,17,14,-8,UMass-Lowell
Chris,Delaney,32,3,13,16,6,0,UMass-Lowell
T.J.,Schweighardt,32,4,11,15,4,-6,UMass-Lowell
Lee,Parks,32,5,8,13,12,-7,UMass-Lowell
Mirko,Buttazzoni,23,4,9,13,22,-9,UMass-Lowell
Libor,Nemec,32,3,10,13,50,-11,UMass-Lowell
Josh,Mori,32,4,8,12,22,-1,UMass-Lowell
Luke,Shipley,32,2,10,12,35,-15,UMass-Lowell
Diego,Buttazzoni,26,5,6,11,45,-16,UMass-Lowell
Nate,Misskey,32,4,4,8,12,-9,UMass-Lowell
Sean,Kilcullen,31,3,5,8,4,-2,UMass-Lowell
Connor,Eddy,29,3,4,7,44,4,UMass-Lowell
Dominic,Payne,32,1,6,7,6,-5,UMass-Lowell
David,Adaszynski,25,1,3,4,2,-5,UMass-Lowell
Tnias,Mathurin,9,1,1,2,4,-1,UMass-Lowell
Dominick,Rivelli,17,1,1,2,2,2,UMass-Lowell
Jaiden,Moriello,9,1,0,1,4,-4,UMass-Lowell
Cole,Lonsdale,16,0,1,1,6,-4,UMass-Lowell
Daniel,Buchbinder,1,0,0,0,0,0,UMass-Lowell
James,Johnson,4,0,0,0,2,0,UMass-Lowell
Ryan,Kroll,7,0,0,0,6,0,UMass-Lowell
August,Classon,8,0,0,0,0,-2,UMass-Lowell
Jacob,MacDonald,8,0,0,0,6,-1,UMass-Lowell
Jack,Collins,13,0,0,0,2,-4,UMass-Lowell
Brandon,Buhr,32,18,15,33,10,-1,Union College
Ben,Muthersbaugh,33,18,15,33,27,0,Union College
Tyler,Dunbar,34,12,18,30,35,14,Union College
Parker,Lindauer,34,7,22,29,18,5,Union College
Colby,MacArthur,32,10,16,26,10,8,Union College
Lucas,Buzziol,34,12,11,23,14,10,Union College
Étienne,Lessard,34,4,17,21,28,8,Union College
Nate,Hanley,33,6,14,20,6,-10,Union College
Alex,Laurenza,29,4,15,19,16,-5,Union College
Riley,Brueck,33,9,6,15,4,15,Union College
Will,Felicio,30,2,11,13,12,1,Union College
Connor,Smith,30,7,5,12,0,3,Union College
Drew,Sutton,30,3,7,10,0,8,Union College
Carter,Rose,34,2,7,9,20,-1,Union College
Troy,Pelton,22,2,6,8,4,1,Union College
Cal,Mell,29,0,6,6,2,5,Union College
Jacob,Jeannette,15,4,1,5,8,3,Union College
D.J.,Hart,23,1,4,5,24,6,Union College
Nick,Young,34,1,3,4,28,5,Union College
Carter,Korpi,17,3,0,3,8,1,Union College
Luke,Buss,15,1,1,2,6,3,Union College
Ethan,Benz,19,0,2,2,0,0,Union College
Brendan,Miles,9,1,0,1,0,-4,Union College
Olivier,Chessler,11,0,1,1,2,3,Union College
Karter,McNarland,31,4,16,20,6,-13,Univ. of Alaska-Anchorage
Ryan,Johnson,31,4,11,15,24,-22,Univ. of Alaska-Anchorage
Tye,Spencer,30,7,4,11,6,-21,Univ. of Alaska-Anchorage
Joey,Potter,30,4,6,10,35,-23,Univ. of Alaska-Anchorage
Judah,Makway,31,3,6,9,37,-20,Univ. of Alaska-Anchorage
Logan,Acheson,31,1,8,9,4,-9,Univ. of Alaska-Anchorage
Dimitry,Kebreau,17,2,6,8,2,-8,Univ. of Alaska-Anchorage
Aiden,Westin,31,6,1,7,14,-8,Univ. of Alaska-Anchorage
Conor,Cole,18,3,4,7,10,-13,Univ. of Alaska-Anchorage
Oren,Shtrom,30,3,4,7,31,-20,Univ. of Alaska-Anchorage
Dylan,Contreras,25,3,3,6,0,-6,Univ. of Alaska-Anchorage
Jacob,Terpstra,17,3,2,5,10,-7,Univ. of Alaska-Anchorage
Camden,Shasby,27,2,3,5,8,-21,Univ. of Alaska-Anchorage
Aaron,Reierson,17,1,4,5,12,-10,Univ. of Alaska-Anchorage
Adam,Parsons,24,1,3,4,0,-5,Univ. of Alaska-Anchorage
David,Jesus,31,1,3,4,33,-17,Univ. of Alaska-Anchorage
John-Paul,Steele,31,0,4,4,39,-13,Univ. of Alaska-Anchorage
Ethan,Warrener,26,3,0,3,10,-15,Univ. of Alaska-Anchorage
Tanyon,Bajzer,21,0,3,3,0,-9,Univ. of Alaska-Anchorage
Luke,Johnson,16,2,0,2,6,-9,Univ. of Alaska-Anchorage
Pavol,Funtek,17,0,2,2,4,-13,Univ. of Alaska-Anchorage
Nolan,Gagnon,17,0,2,2,4,-6,Univ. of Alaska-Anchorage
Ben,Anderson,13,1,0,1,23,-2,Univ. of Alaska-Anchorage
Luke,Helgeson,5,0,0,0,2,-2,Univ. of Alaska-Anchorage
Brandon,Lajoie,6,0,0,0,0,-2,Univ. of Alaska-Anchorage
Henry,Bartle,7,0,0,0,6,-4,Univ. of Alaska-Anchorage
Bryce,Monrean,13,0,0,0,8,-4,Univ. of Alaska-Anchorage
Michael,Citara,31,15,11,26,20,-5,Univ. of Alaska-Fairbanks
Rylen,Roersma,29,9,13,22,32,4,Univ. of Alaska-Fairbanks
Chase,Dafoe,31,12,8,20,22,-5,Univ. of Alaska-Fairbanks
Peyton,Platter,29,6,12,18,36,-6,Univ. of Alaska-Fairbanks
Braden,Birnie,31,6,10,16,20,1,Univ. of Alaska-Fairbanks
Nathan,Rickey,31,3,13,16,2,3,Univ. of Alaska-Fairbanks
Alexander,Malinowski,26,9,6,15,8,7,Univ. of Alaska-Fairbanks
Tommy,Cronin,16,4,11,15,8,5,Univ. of Alaska-Fairbanks
Jhett,Larson,30,7,7,14,16,9,Univ. of Alaska-Fairbanks
Mykhailo,Danylov,26,3,6,9,13,-6,Univ. of Alaska-Fairbanks
Jackson,Anderson,30,2,7,9,14,-2,Univ. of Alaska-Fairbanks
Carson,Reed,30,2,6,8,4,1,Univ. of Alaska-Fairbanks
Dean,Spak,23,1,7,8,22,5,Univ. of Alaska-Fairbanks
Davis,Borozinskis,29,3,4,7,10,0,Univ. of Alaska-Fairbanks
Cade,Ahrenholz,15,2,4,6,6,3,Univ. of Alaska-Fairbanks
Hugo,Marcil,16,0,6,6,8,8,Univ. of Alaska-Fairbanks
Adam,Cardona,29,0,6,6,26,0,Univ. of Alaska-Fairbanks
William,Fleet,20,2,3,5,29,-4,Univ. of Alaska-Fairbanks
Caelum,Dick,17,0,5,5,6,1,Univ. of Alaska-Fairbanks
Noah,Barlage,29,0,4,4,4,5,Univ. of Alaska-Fairbanks
Lucas,Sorace,7,0,2,2,0,3,Univ. of Alaska-Fairbanks
Beau,Courtney,7,1,0,1,2,-2,Univ. of Alaska-Fairbanks
Haden,Kruse,15,1,0,1,6,-6,Univ. of Alaska-Fairbanks
Kyle,Miller,4,0,1,1,4,-2,Univ. of Alaska-Fairbanks
Dylan,Sydor,12,0,1,1,10,-1,Univ. of Alaska-Fairbanks
Trenton,Penner,6,0,0,0,18,0,Univ. of Alaska-Fairbanks
Fyodor,Nikolayenya,8,0,0,0,4,-2,Univ. of Alaska-Fairbanks
William,Lawson-Body,13,0,0,0,0,-3,Univ. of Alaska-Fairbanks
Ryan,Tattle,32,11,17,28,32,6,Univ. of Connecticut
Joey,Muldowney,28,16,9,25,25,10,Univ. of Connecticut
Jake,Richard,32,9,16,25,32,4,Univ. of Connecticut
Kaden,Shahan,32,9,10,19,0,6,Univ. of Connecticut
Alexandre,Blais,32,6,13,19,18,4,Univ. of Connecticut
Mike,Murtagh,32,6,12,18,14,5,Univ. of Connecticut
Ethan,Gardula,32,9,7,16,4,5,Univ. of Connecticut
Tabor,Heaslip,32,6,10,16,10,10,Univ. of Connecticut
Carlin,Dezainde,31,8,7,15,18,7,Univ. of Connecticut
Ethan,Whitcomb,32,4,9,13,16,4,Univ. of Connecticut
Trey,Scott,24,1,12,13,4,2,Univ. of Connecticut
Jake,Percival,32,7,4,11,6,3,Univ. of Connecticut
Tristan,Fraser,32,3,7,10,14,3,Univ. of Connecticut
Kai,Janviriya,32,0,8,8,8,17,Univ. of Connecticut
Viking,Gustafsson Nyberg,32,0,8,8,20,15,Univ. of Connecticut
Thomas,Messineo,32,2,5,7,10,13,Univ. of Connecticut
Anthony,Allain-Samaké,32,0,7,7,8,0,Univ. of Connecticut
Brendan,Dunphy,31,2,4,6,14,7,Univ. of Connecticut
Kevin,Fitzgerald,15,1,2,3,2,-4,Univ. of Connecticut
Joseph,Odyniec,2,0,1,1,0,2,Univ. of Connecticut
Huston,Karpman,12,0,0,0,10,-2,Univ. of Connecticut
Owen,Simpson,17,0,0,0,6,2,Univ. of Connecticut
Eric,Pohlkamp,35,16,18,34,29,22,Univ. of Denver
Sam,Harris,35,13,16,29,41,12,Univ. of Denver
Rieger,Lorenz,35,13,15,28,32,20,Univ. of Denver
James,Reeder,35,9,19,28,4,15,Univ. of Denver
Samu,Salminen,35,9,17,26,21,19,Univ. of Denver
Boston,Buckberger,35,8,17,25,16,24,Univ. of Denver
Clarke,Caswell,35,4,21,25,6,4,Univ. of Denver
Kyle,Chyzowski,35,9,11,20,9,-3,Univ. of Denver
Kristian,Epperson,35,10,7,17,14,4,Univ. of Denver
Jake,Fisher,35,6,10,16,4,7,Univ. of Denver
Eric,Jamieson,35,6,9,15,43,10,Univ. of Denver
Hagen,Burrows,35,5,9,14,16,7,Univ. of Denver
Kieran,Cebrian,35,3,9,12,34,14,Univ. of Denver
Garrett,Brown,29,2,7,9,12,2,Univ. of Denver
Reid,Varkonyi,35,2,7,9,6,5,Univ. of Denver
Brendan,McMorrow,19,2,5,7,4,5,Univ. of Denver
Cale,Ashcroft,35,2,5,7,8,9,Univ. of Denver
Brady,Milburn,35,1,4,5,10,-2,Univ. of Denver
Kent,Anderson,35,1,2,3,10,5,Univ. of Denver
Payton,Nelson,9,1,0,1,0,0,Univ. of Denver
Tory,Pitner,6,0,1,1,5,2,Univ. of Denver
Alec,Whipple,6,0,0,0,0,0,Univ. of Denver
Brandon,Holt,33,6,24,30,8,14,Univ. of Maine
Justin,Poirier,27,18,11,29,12,3,Univ. of Maine
Josh,Nadeau,28,16,13,29,8,6,Univ. of Maine
Miguel,Marques,31,9,13,22,14,12,Univ. of Maine
Owen,Fowler,32,11,10,21,26,19,Univ. of Maine
Sully,Scholle,33,7,11,18,24,14,Univ. of Maine
Max,Scott,28,5,13,18,16,7,Univ. of Maine
Charlie,Russell,33,6,9,15,32,2,Univ. of Maine
Frank,Djurasevic,32,5,9,14,18,8,Univ. of Maine
Thomas,Pichette,31,5,8,13,8,3,Univ. of Maine
Thomas,Freel,32,4,9,13,6,5,Univ. of Maine
Lukas,Peterson,32,3,9,12,6,13,Univ. of Maine
Brandon,Chabrier,29,0,12,12,23,8,Univ. of Maine
Jaden,Lipinski,29,3,8,11,33,4,Univ. of Maine
Will,Gerrior,33,5,4,9,6,2,Univ. of Maine
Jérémy,Langlois,28,2,7,9,24,15,Univ. of Maine
Oskar,Komarov,30,4,3,7,15,0,Univ. of Maine
Loic,Usereau,28,2,4,6,6,1,Univ. of Maine
Brock,James,15,1,2,3,2,-2,Univ. of Maine
Nick,Peluso,8,0,2,2,2,2,Univ. of Maine
Luke,Coughlin,10,0,2,2,0,0,Univ. of Maine
Simon,Motew,10,0,2,2,4,-1,Univ. of Maine
Grayson,Arnott,10,1,0,1,2,0,Univ. of Maine
Bodie,Nobes,15,0,1,1,17,-3,Univ. of Maine
Anthony,Calafiore,11,0,0,0,4,-5,Univ. of Maine
Jack,Musa,30,15,18,33,8,10,Univ. of Massachusetts
Vaclav,Nestrasil,30,12,15,27,8,0,Univ. of Massachusetts
Francesco,Dell'Elce,32,5,16,21,16,11,Univ. of Massachusetts
Jack,Galanek,32,4,17,21,20,3,Univ. of Massachusetts
Larry,Keenan,32,6,10,16,10,6,Univ. of Massachusetts
Daniel,Alexander Jencko,31,5,10,15,4,-2,Univ. of Massachusetts
Lukas,Klecka,32,8,6,14,12,-6,Univ. of Massachusetts
Lucas,Ölvestad,32,5,9,14,16,2,Univ. of Massachusetts
Cameron,O'Neill,27,3,9,12,8,4,Univ. of Massachusetts
Nicholas,Van Tassell,22,2,10,12,10,-4,Univ. of Massachusetts
Justin,Kerr,25,6,4,10,16,3,Univ. of Massachusetts
Michael,DeAngelo,28,6,4,10,6,2,Univ. of Massachusetts
Owen,Mehlenbacher,28,3,5,8,8,4,Univ. of Massachusetts
Owen,Murray,30,3,5,8,16,8,Univ. of Massachusetts
Bo,Cosman,21,4,3,7,10,3,Univ. of Massachusetts
Cameron,Dunn,18,2,2,4,2,4,Univ. of Massachusetts
James,Duerr,13,1,2,3,2,-3,Univ. of Massachusetts
Landon,Nycz,32,1,2,3,2,-2,Univ. of Massachusetts
Matthew,Wilde,19,0,3,3,4,1,Univ. of Massachusetts
Charlie,Lieberman,24,0,3,3,2,-3,Univ. of Massachusetts
Coleson,Hanrahan,26,0,3,3,4,7,Univ. of Massachusetts
Kennedy,O'Connor,4,0,0,0,0,0,Univ. of Massachusetts
Elias,Zimmerman,17,0,0,0,2,-1,Univ. of Massachusetts
A.J.,Lacroix,19,0,0,0,0,0,Univ. of Massachusetts
T.J.,Hughes,34,18,29,47,20,10,Univ. of Michigan
Michael,Hage,34,12,33,45,14,12,Univ. of Michigan
William,Horcoff,34,22,13,35,56,8,Univ. of Michigan
Jayden,Perron,34,13,19,32,4,15,Univ. of Michigan
Nicholas,Moldenhauer,34,13,13,26,14,23,Univ. of Michigan
Adam,Valentini,34,10,15,25,44,4,Univ. of Michigan
Malcolm,Spence,34,9,11,20,40,16,Univ. of Michigan
Garrett,Schifsky,34,10,9,19,50,13,Univ. of Michigan
Ben,Robertson,34,0,18,18,16,17,Univ. of Michigan
Cole,McKinney,34,7,10,17,26,2,Univ. of Michigan
Asher,Barnett,34,5,12,17,12,24,Univ. of Michigan
Joshua,Eernisse,32,9,7,16,37,14,Univ. of Michigan
Dakoda,Rhéaume-Mullen,34,4,12,16,18,9,Univ. of Michigan
Tyler,Duke,34,1,15,16,69,24,Univ. of Michigan
Aidan,Park,34,8,7,15,28,11,Univ. of Michigan
Kienan,Draper,34,4,10,14,57,17,Univ. of Michigan
Luca,Fantilli,34,3,11,14,12,25,Univ. of Michigan
Drew,Schock,32,1,8,9,22,4,Univ. of Michigan
Henry,Mews,10,0,9,9,6,5,Univ. of Michigan
Kason,Muscutt,11,1,0,1,4,-2,Univ. of Michigan
Matthew,Mania,15,1,0,1,18,3,Univ. of Michigan
Teddy,Spitznagel,0,0,0,0,0,,Univ. of Michigan
Hunter,Hady,1,0,0,0,0,0,Univ. of Michigan
Brodie,Ziemer,33,22,12,34,26,-8,Univ. of Minnesota
Brody,Lamb,33,14,16,30,10,-4,Univ. of Minnesota
L.J.,Mooney,31,7,21,28,35,-9,Univ. of Minnesota
Luke,Mittelstadt,33,2,19,21,16,-6,Univ. of Minnesota
Javon,Moore,33,7,12,19,4,-1,Univ. of Minnesota
Beckett,Hendrickson,33,6,12,18,18,6,Univ. of Minnesota
Jimmy,Clark,33,4,12,16,2,0,Univ. of Minnesota
Tanner,Ludtke,28,5,8,13,32,-7,Univ. of Minnesota
Erik,Påhlsson,29,5,7,12,4,-8,Univ. of Minnesota
Mason,Moe,30,5,5,10,4,3,Univ. of Minnesota
Tate,Pritchard,31,4,6,10,28,-11,Univ. of Minnesota
Leo,Gruba,30,2,4,6,14,-2,Univ. of Minnesota
Cal,Thomas,28,1,4,5,10,-7,Univ. of Minnesota
Teddy,Townsend,22,3,1,4,6,-6,Univ. of Minnesota
John,Mittelstadt,33,1,3,4,7,-9,Univ. of Minnesota
Jacob,Rombach,33,0,3,3,12,1,Univ. of Minnesota
Max,Rud,21,1,1,2,0,-2,Univ. of Minnesota
John,Whipple,33,1,1,2,14,-1,Univ. of Minnesota
Axel,Begley,24,1,0,1,0,0,Univ. of Minnesota
August,Falloon,17,0,1,1,10,-10,Univ. of Minnesota
Finn,McLaughlin,30,0,1,1,6,-12,Univ. of Minnesota
Graham,Harris,9,0,0,0,2,0,Univ. of Minnesota
Max,Plante,34,22,23,45,19,12,Univ. of Minnesota-Duluth
Zam,Plante,34,16,25,41,2,10,Univ. of Minnesota-Duluth
Jayson,Shaugabay,34,10,29,39,18,10,Univ. of Minnesota-Duluth
Ty,Hanson,34,8,22,30,14,11,Univ. of Minnesota-Duluth
Callum,Arnott,34,11,14,25,6,-4,Univ. of Minnesota-Duluth
Scout,Truman,33,13,3,16,8,-1,Univ. of Minnesota-Duluth
Hunter,Anderson,28,5,11,16,18,1,Univ. of Minnesota-Duluth
Grayden,Siepmann,31,5,11,16,2,-2,Univ. of Minnesota-Duluth
Kyle,Gaffney,34,2,10,12,16,-4,Univ. of Minnesota-Duluth
Daniel,Shlaine,32,5,5,10,8,2,Univ. of Minnesota-Duluth
Aaron,Pionk,34,1,9,10,6,-6,Univ. of Minnesota-Duluth
Adam,Kleber,34,2,7,9,17,10,Univ. of Minnesota-Duluth
Ryan,Zaremba,25,1,7,8,14,-1,Univ. of Minnesota-Duluth
Harper,Bentz,21,4,0,4,2,-5,Univ. of Minnesota-Duluth
Joseph,Pierce,34,3,1,4,10,-7,Univ. of Minnesota-Duluth
Blake,Bechen,27,0,4,4,20,-6,Univ. of Minnesota-Duluth
Brady,Cleveland,33,0,2,2,45,4,Univ. of Minnesota-Duluth
Braden,Fischer,8,1,0,1,0,-6,Univ. of Minnesota-Duluth
Kyler,Kovich,34,1,0,1,21,-7,Univ. of Minnesota-Duluth
Trevor,Stachowiak,3,0,1,1,0,-3,Univ. of Minnesota-Duluth
Jacob,Toll,11,0,0,0,4,-5,Univ. of Minnesota-Duluth
Riley,Bodnarchuk,27,0,0,0,4,-3,Univ. of Minnesota-Duluth
Luke,Bibby,27,0,0,0,10,-8,Univ. of Minnesota-Duluth
Maxime,Pellerin,33,8,11,19,14,-7,Univ. of Nebraska-Omaha
Trevor,Wong,32,5,14,19,4,-9,Univ. of Nebraska-Omaha
Luke,Woodworth,34,4,15,19,12,-10,Univ. of Nebraska-Omaha
Jérémy,Loranger,26,7,11,18,12,-8,Univ. of Nebraska-Omaha
Griffin,Ludtke,34,0,17,17,34,7,Univ. of Nebraska-Omaha
Marcus,Nguyen,33,11,5,16,32,-4,Univ. of Nebraska-Omaha
Brett,Hyland,30,8,8,16,54,-5,Univ. of Nebraska-Omaha
Samuel,Huo,28,6,9,15,25,-4,Univ. of Nebraska-Omaha
Marc,Lajoie,34,6,7,13,26,-11,Univ. of Nebraska-Omaha
Sean,Tschigerl,33,5,8,13,46,0,Univ. of Nebraska-Omaha
Aidan,De La Gorgendiere,31,3,10,13,28,-13,Univ. of Nebraska-Omaha
Tyler,Rollwagen,34,7,5,12,6,-10,Univ. of Nebraska-Omaha
Jacob,Guévin,30,3,6,9,10,-6,Univ. of Nebraska-Omaha
Spencer,Sova,33,2,7,9,23,-8,Univ. of Nebraska-Omaha
Myles,Hilman,34,5,3,8,10,-5,Univ. of Nebraska-Omaha
Jacob,Slipec,31,4,3,7,10,-5,Univ. of Nebraska-Omaha
Marcus,Broberg,34,1,5,6,8,-8,Univ. of Nebraska-Omaha
Cameron,Briere,19,2,3,5,2,-2,Univ. of Nebraska-Omaha
Cam,Mitchell,32,2,3,5,30,-16,Univ. of Nebraska-Omaha
Joel,Plante,24,1,1,2,34,-6,Univ. of Nebraska-Omaha
Ryan,McCleary,10,1,0,1,6,0,Univ. of Nebraska-Omaha
Chase,LaPinta,3,0,1,1,2,0,Univ. of Nebraska-Omaha
Joe,Gramer,13,0,1,1,6,-4,Univ. of Nebraska-Omaha
Hunter,McInnes,1,0,0,0,0,-1,Univ. of Nebraska-Omaha
Morgan,Winters,30,11,11,22,25,-9,Univ. of New Hampshire
Nick,Ring,32,8,12,20,8,-7,Univ. of New Hampshire
Brendan,Fitzgerald,32,2,14,16,10,-7,Univ. of New Hampshire
Cy,LeClerc,31,4,10,14,6,-12,Univ. of New Hampshire
Jacob,Newcombe,32,7,6,13,8,-12,Univ. of New Hampshire
Cameron,MacDonald,30,6,5,11,27,-8,Univ. of New Hampshire
Félix,Gagnon,29,5,6,11,16,-4,Univ. of New Hampshire
Sam,Oliver,29,2,7,9,8,-13,Univ. of New Hampshire
Martins,Lavins,19,4,4,8,4,1,Univ. of New Hampshire
Ryan,Philbrick,32,4,4,8,8,0,Univ. of New Hampshire
Conner,de Haro,30,0,8,8,6,-6,Univ. of New Hampshire
Kristaps,Skrastins,31,2,4,6,12,-5,Univ. of New Hampshire
Alex,Carr,32,1,5,6,22,-6,Univ. of New Hampshire
J.P.,Turner,32,3,1,4,12,-9,Univ. of New Hampshire
Ryan,MacPherson,27,2,2,4,10,-1,Univ. of New Hampshire
Nicholas,De Angelis,25,0,3,3,2,-8,Univ. of New Hampshire
Jason,Siedem,30,0,3,3,6,-7,Univ. of New Hampshire
Josh,Player,24,1,1,2,2,-6,Univ. of New Hampshire
Oscar,Plandowski,28,0,2,2,12,-11,Univ. of New Hampshire
Jack,Cronin,8,0,1,1,2,-3,Univ. of New Hampshire
Connor,DeTurris,21,0,1,1,2,-6,Univ. of New Hampshire
Zach,Hahn,3,0,0,0,0,0,Univ. of New Hampshire
Reid,Conn,8,0,0,0,9,-1,Univ. of New Hampshire
Ronan,Walsh,14,0,0,0,12,0,Univ. of New Hampshire
Ben,Strinden,34,15,18,33,8,15,Univ. of North Dakota
Ellis,Rickwood,29,8,24,32,17,12,Univ. of North Dakota
Cole,Reschny,30,5,26,31,18,12,Univ. of North Dakota
Will,Zellers,33,17,10,27,12,0,Univ. of North Dakota
Dylan,James,34,17,10,27,8,14,Univ. of North Dakota
Abram,Wiebe,34,5,21,26,6,7,Univ. of North Dakota
Jake,Livanavage,33,5,20,25,10,17,Univ. of North Dakota
Mac,Swanson,34,8,16,24,4,5,Univ. of North Dakota
Keaton,Verhoeff,30,6,14,20,29,9,Univ. of North Dakota
Jack,Kernan,31,8,7,15,12,6,Univ. of North Dakota
Ollie,Josephson,34,5,10,15,10,10,Univ. of North Dakota
Cody,Croal,29,7,4,11,14,15,Univ. of North Dakota
Anthony,Menghini,32,5,6,11,8,6,Univ. of North Dakota
Cade,Littler,30,4,7,11,26,3,Univ. of North Dakota
Sam,Laurila,30,1,9,10,25,9,Univ. of North Dakota
Tyler,Young,26,4,5,9,6,2,Univ. of North Dakota
EJ,Emery,32,3,6,9,32,12,Univ. of North Dakota
David,Klee,21,3,3,6,14,4,Univ. of North Dakota
Joshua,Zakreski,9,3,2,5,6,3,Univ. of North Dakota
Andrew,Strathmann,32,1,4,5,46,6,Univ. of North Dakota
Bennett,Zmolek,27,1,2,3,28,16,Univ. of North Dakota
Jayden,Jubenvill,15,0,2,2,18,4,Univ. of North Dakota
Ian,Engel,2,0,0,0,0,0,Univ. of North Dakota
Dalton,Andrew,3,0,0,0,2,0,Univ. of North Dakota
Evan,Werner,34,15,14,29,12,-17,Univ. of Notre Dame
Cole,Knuble,33,8,21,29,28,-17,Univ. of Notre Dame
Sutter,Muzzatti,34,11,17,28,40,-20,Univ. of Notre Dame
Danny,Nelson,33,13,14,27,30,-13,Univ. of Notre Dame
Cole,Brown,32,6,13,19,77,-11,Univ. of Notre Dame
Paul,Fischer,30,5,14,19,39,-18,Univ. of Notre Dame
Axel,Kumlin,34,3,14,17,29,-19,Univ. of Notre Dame
Brennan,Ali,32,7,7,14,23,-11,Univ. of Notre Dame
Pano,Fimis,34,5,9,14,10,-21,Univ. of Notre Dame
Michael,Mastrodomenico,32,5,8,13,34,-14,Univ. of Notre Dame
Henry,Nelson,34,3,9,12,20,-9,Univ. of Notre Dame
Maddox,Fleming,26,2,4,6,4,-8,Univ. of Notre Dame
Carter,Slaggert,34,2,4,6,28,-15,Univ. of Notre Dame
Dashel,Oliver,34,2,3,5,12,-12,Univ. of Notre Dame
Jimmy,Jurcev,34,0,5,5,12,-14,Univ. of Notre Dame
Jaedon,Kerr,34,0,5,5,24,-8,Univ. of Notre Dame
Jayden,Davis,17,2,2,4,14,-3,Univ. of Notre Dame
William,Belle,31,1,3,4,27,-2,Univ. of Notre Dame
Caeden,Carlisle,16,1,2,3,50,-5,Univ. of Notre Dame
Niko,Jovanovic,16,2,0,2,4,1,Univ. of Notre Dame
Drew,Mackie,12,0,1,1,2,-1,Univ. of Notre Dame
Michael,Schermerhorn,20,0,1,1,6,-7,Univ. of Notre Dame
Charles,Pardue,1,0,0,0,0,-2,Univ. of Notre Dame
Jack,Larrigan,7,0,0,0,0,-1,Univ. of Notre Dame
Alex,Gaffney,34,17,20,37,4,5,Univ. of St. Thomas
Lucas,Wahlin,32,19,16,35,37,10,Univ. of St. Thomas
Lucas,Van Vliet,33,11,21,32,21,1,Univ. of St. Thomas
Nathan,Pilling,34,15,14,29,48,7,Univ. of St. Thomas
Ryan,O'Neill,30,4,20,24,20,7,Univ. of St. Thomas
Chase,Cheslock,34,0,23,23,22,5,Univ. of St. Thomas
Jake,Braccini,32,14,8,22,18,1,Univ. of St. Thomas
Nick,Williams,31,6,11,17,6,7,Univ. of St. Thomas
Charlie,Schoen,25,3,14,17,4,8,Univ. of St. Thomas
Hayes,Hundley,34,6,6,12,10,10,Univ. of St. Thomas
Dylan,Godbout,25,3,9,12,2,6,Univ. of St. Thomas
Caige,Sterzer,30,3,9,12,16,0,Univ. of St. Thomas
Bauer,Berry,33,3,8,11,16,6,Univ. of St. Thomas
Quinton,Pepper,29,3,6,9,14,-1,Univ. of St. Thomas
Luc,Laylin,34,4,2,6,8,2,Univ. of St. Thomas
Casy,Laylin,18,1,5,6,6,-8,Univ. of St. Thomas
Attila,Lippai,27,3,2,5,10,-1,Univ. of St. Thomas
Mason,Poolman,34,1,4,5,8,9,Univ. of St. Thomas
Cole,Miller,34,0,5,5,28,1,Univ. of St. Thomas
Joshua,Giuliani,16,3,1,4,4,-5,Univ. of St. Thomas
Luke,Schelter,7,0,1,1,0,0,Univ. of St. Thomas
Colton,Jamieson,16,0,1,1,4,-2,Univ. of St. Thomas
